52,SK바이오팜,"100,500",600,+0.60%,500,"78,705","78,313",6.18,"177,321",-194.77,-135.18,
53,LG이노텍,"326,500","5,500",-1.66%,"5,000","77,273","23,667",26.17,"440,361",10.35,10.20,
54,한온시스템,"13,550",0,0.00%,100,"72,330","533,800",17.69,"626,731",24.73,5.09,
55,한국조선해양,"99,700","1,800",+1.84%,"5,000","70,561","70,773",19.90,"308,765",-5.47,-7.42,
56,한화솔루션,"36,400",300,+0.83%,"5,000","69,625","191,278",18.84,"583,876",9.30,5.30,
57,F&F,"907,000","17,000",+1.91%,500,"69,489","7,661",14.31,"60,539",N/A,N/A,
58,SKC,"176,000","3,000",-1.68%,"5,000","66,648","37,868",16.21,"149,451",35.85,2.21,
59,현대글로비스,"171,000","6,500",+3.95%,500,"64,125","37,500",33.03,"296,036",9.22,12.45,
60,LG유플러스,"14,450",500,+3.58%,"5,000","63,090","436,611",35.05,"1,799,172",16.07,6.46,
61,CJ제일제당,"402,500","12,500",+3.21%,"5,000","60,593","15,054",22.40,"87,133",13.73,13.50,
62,현대제철,"44,250","1,350",+3.15%,"5,000","59,050","133,446",20.38,"968,871",6.77,-2.59,
63,에스디바이오센서,"56,300",400,-0.71%,500,"58,142","103,271",6.63,"473,638",8.53,139.97,
64,미래에셋증권,"9,150",50,+0.55%,"5,000","58,131","635,316",12.73,"964,017",6.26,8.94,
65,맥쿼리인프라,"14,050",100,+0.72%,0,"56,881","404,846",13.75,"1,276,457",N/A,N/A,
66,금호석유,"186,500","1,000",+0.54%,"5,000","56,822","30,468",18.52,"222,752",3.34,20.18,
67,KODEX 200,"39,850",100,+0.25%,0,"56,228","141,100",8.46,"2,568,464",N/A,N/A,
68,코웨이,"76,100",200,+0.26%,500,"56,162","73,800",60.23,"140,219",12.60,31.51,
69,일진머티리얼즈,"119,500",500,+0.42%,500,"55,102","46,111",12.46,"212,501",86.72,7.23,
70,현대건설,"47,800",0,0.00%,"5,000","53,228","111,356",21.74,"612,740",31.78,1.84,
71,강원랜드,"24,150",200,+0.84%,500,"51,667","213,940",18.88,"436,434",-156.82,-7.92,
72,삼성중공업,"5,750",50,-0.86%,"1,000","50,600","880,000",13.82,"3,560,435",-2.34,-33.06,
73,한국타이어앤테크놀로지,"40,050",400,+1.01%,500,"49,612","123,875",41.62,"196,390",7.51,5.12,
74,한국금융지주,"86,100","1,400",+1.65%,"5,000","47,980","55,726",34.76,"167,612",2.95,16.27,
75,메리츠금융지주,"35,750","2,550",+7.68%,500,"47,909","134,011",7.59,"488,253",6.73,16.06,
76,삼성엔지니어링,"23,450",750,+3.30%,"5,000","45,962","196,000",34.40,"1,520,852",12.98,17.32,
77,유한양행,"65,600",900,+1.39%,"1,000","45,902","69,973",17.53,"286,055",47.57,11.06,
78,현대중공업지주,"58,100",300,+0.52%,"1,000","45,895","78,993",16.61,"153,830",-13.47,-8.12,
79,삼성증권,"50,300",700,+1.41%,"5,000","44,918","89,300",29.58,"661,828",4.74,9.89,
80,오리온,"110,000","1,500",+1.38%,500,"43,490","39,536",37.56,"166,589",18.29,15.50,
81,이마트,"156,000","1,500",+0.97%,"5,000","43,486","27,876",33.43,"105,030",3.14,4.05,
82,한진칼,"64,000","1,000",+1.59%,"2,500","42,713","66,739",14.58,"61,780",-72.89,-19.55,
83,DB손해보험,"60,300","2,700",+4.69%,500,"42,692","70,800",42.90,"242,433",5.36,9.08,
84,두산밥캣,"41,700","1,650",+4.12%,500,"41,804","100,249",25.55,"311,215",11.41,6.15,
85,삼성카드,"34,950",900,+2.64%,"5,000","40,493","115,859",7.48,"259,752",8.62,5.69,
86,쌍용C&E,"7,930",120,+1.54%,100,"39,956","503,860",3.09,"1,381,421",19.39,7.92,
87,NH투자증권,"13,450",150,+1.13%,"5,000","39,951","297,034",17.61,"1,239,015",4.94,10.32,
88,메리츠화재,"32,750",600,+1.87%,500,"39,505","120,625",10.23,"374,955",6.80,16.91,
89,GS,"41,250",450,+1.10%,"5,000","38,328","92,915",19.04,"206,507",3.74,-2.82,
90,한미사이언스,"56,800","1,400",+2.53%,500,"38,229","67,305",1.47,"100,884",70.65,3.47,
91,아모레G,"45,800",400,-0.87%,500,"37,766","82,458",16.01,"118,563",25.72,0.31,
92,현대차2우B,"101,500",500,-0.49%,"5,000","37,033","36,485",61.67,"82,638",5.14,N/A,
93,현대오토에버,"132,500","2,500",+1.92%,500,"36,337","27,424",2.06,"376,865",48.09,11.09,
94,한국가스공사,"38,950","1,600",+4.28%,"5,000","35,956","92,313",10.54,"426,829",8.09,-2.24,
95,GS건설,"41,850",300,+0.72%,"5,000","35,816","85,581",26.10,"291,046",10.19,7.68,
96,메리츠증권,"5,210",90,+1.76%,"1,000","35,518","681,731",13.60,"1,638,877",5.29,13.08,
97,한전기술,"90,900","1,900",+2.13%,200,"34,742","38,220",2.43,"440,596",341.73,N/A,
98,두산퓨얼셀,"52,500","2,200",+4.37%,100,"34,384","65,494",14.47,"1,633,179","1,050.00",4.18,
99,한솔케미칼,"300,500","6,000",-1.96%,"5,000","34,062","11,335",42.74,"34,194",23.44,24.50,
100,한미약품,"281,000","5,000",+1.81%,"2,500","33,940","12,078",13.30,"24,814",43.89,1.65,
101,롯데지주,"31,350",400,+1.29%,200,"32,889","104,909",8.85,"96,478",16.34,-3.03,
102,GS리테일,"30,900",150,+0.49%,"1,000","32,358","104,718",8.56,"214,218",3.12,7.50,
103,DB하이텍,"69,800","1,600",-2.24%,"5,000","30,990","44,399",23.46,"586,522",14.58,23.07,
104,TIGER 차이나전기차SOLACTIVE,"18,745",415,-2.17%,0,"30,802","164,320",0.10,"6,004,533",N/A,N/A,
105,동서,"30,850",500,+1.65%,500,"30,757","99,700",2.96,"77,017",28.97,8.61,
106,CJ대한통운,"133,500","1,500",+1.14%,"5,000","30,454","22,812",21.77,"31,407",103.41,3.89,
107,팬오션,"5,690",150,+2.71%,"1,000","30,417","534,570",11.34,"4,884,246",9.78,3.25,
108,호텔신라,"76,800",700,+0.92%,"5,000","30,143","39,248",13.17,"159,978",-29.48,-36.74,
109,한화시스템,"15,550",250,+1.63%,"5,000","29,377","188,919",2.15,"417,097",18.85,9.35,
110,현대미포조선,"73,500","1,600",+2.23%,"5,000","29,357","39,942",10.65,"271,517",-19.10,-0.84,
111,한국항공우주,"30,000",500,+1.69%,"5,000","29,243","97,475",11.89,"567,921",204.08,6.39,
